=======================================================
ALL-GRID MATHEMATICAL PATTERN REPORT
Target Character: 'A'
Total File Size: 243496 characters
Grid Dimensions: 100 cols x 2435 rows
=======================================================

Row 0001 [Slots      0..    99] | Count: 25 | Type: IRREGULAR_CLUSTER  | Formula: Start #5, Deltas: 1.8.2.2.1.1...
Row 0021 [Slots   2000..  2099] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0022 [Slots   2100..  2199] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0023 [Slots   2200..  2299] | Count:  2 | Type: SOLID_RUN          | Formula: Start #2280, Solid Run of 2 (AAAA...)
Row 0024 [Slots   2300..  2399] | Count:  1 | Type: SINGLE             | Formula: Slot #2321 (Offset +21)
Row 0025 [Slots   2400..  2499] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0026 [Slots   2500..  2599] | Count:  7 | Type: IRREGULAR_CLUSTER  | Formula: Start #2500, Deltas: 1.20.6.26.21.4
Row 0027 [Slots   2600..  2699] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #2656, Deltas: 17.25
Row 0028 [Slots   2700..  2799] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0029 [Slots   2800..  2899] | Count:  1 | Type: SINGLE             | Formula: Slot #2822 (Offset +22)
Row 0030 [Slots   2900..  2999] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 2919 + (66 * k) [k=0..1]
Row 0031 [Slots   3000..  3099] | Count:  2 | Type: SOLID_RUN          | Formula: Start #3040, Solid Run of 2 (AAAA...)
Row 0032 [Slots   3100..  3199] | Count:  1 | Type: SINGLE             | Formula: Slot #3147 (Offset +47)
Row 0033 [Slots   3200..  3299] | Count:  5 | Type: IRREGULAR_CLUSTER  | Formula: Start #3200, Deltas: 8.42.29.13
Row 0034 [Slots   3300..  3399] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0035 [Slots   3400..  3499] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0036 [Slots   3500..  3599] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 3542 + (27 * k) [k=0..1]
Row 0037 [Slots   3600..  3699] | Count:  1 | Type: SINGLE             | Formula: Slot #3679 (Offset +79)
Row 0038 [Slots   3700..  3799] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0039 [Slots   3800..  3899] | Count:  1 | Type: SINGLE             | Formula: Slot #3883 (Offset +83)
Row 0040 [Slots   3900..  3999] | Count:  1 | Type: SINGLE             | Formula: Slot #3995 (Offset +95)
Row 0041 [Slots   4000..  4099] | Count:  1 | Type: SINGLE             | Formula: Slot #4045 (Offset +45)
Row 0042 [Slots   4100..  4199] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #4110, Deltas: 32.45
Row 0043 [Slots   4200..  4299] | Count:  5 | Type: IRREGULAR_CLUSTER  | Formula: Start #4209, Deltas: 1.44.28.4
Row 0044 [Slots   4300..  4399] | Count:  1 | Type: SINGLE             | Formula: Slot #4346 (Offset +46)
Row 0045 [Slots   4400..  4499] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0046 [Slots   4500..  4599] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 4564 + (23 * k) [k=0..1]
Row 0047 [Slots   4600..  4699] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0048 [Slots   4700..  4799] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0049 [Slots   4800..  4899] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #4804, Deltas: 18.44
Row 0050 [Slots   4900..  4999] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0051 [Slots   5000..  5099] | Count:  4 | Type: IRREGULAR_CLUSTER  | Formula: Start #5023, Deltas: 3.29.28
Row 0052 [Slots   5100..  5199] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 5141 + (47 * k) [k=0..1]
Row 0053 [Slots   5200..  5299] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0054 [Slots   5300..  5399] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #5315, Deltas: 12.51
Row 0055 [Slots   5400..  5499] | Count:  1 | Type: SINGLE             | Formula: Slot #5433 (Offset +33)
Row 0056 [Slots   5500..  5599] | Count:  1 | Type: SINGLE             | Formula: Slot #5588 (Offset +88)
Row 0057 [Slots   5600..  5699] | Count:  1 | Type: SINGLE             | Formula: Slot #5630 (Offset +30)
Row 0058 [Slots   5700..  5799] | Count:  5 | Type: IRREGULAR_CLUSTER  | Formula: Start #5700, Deltas: 24.23.15.13
Row 0059 [Slots   5800..  5899] | Count:  1 | Type: SINGLE             | Formula: Slot #5872 (Offset +72)
Row 0060 [Slots   5900..  5999] | Count:  1 | Type: SINGLE             | Formula: Slot #5919 (Offset +19)
Row 0061 [Slots   6000..  6099] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 6017 + (19 * k) [k=0..1]
Row 0062 [Slots   6100..  6199] | Count:  1 | Type: SINGLE             | Formula: Slot #6117 (Offset +17)
Row 0063 [Slots   6200..  6299] | Count:  4 | Type: IRREGULAR_CLUSTER  | Formula: Start #6239, Deltas: 13.17.1
Row 0064 [Slots   6300..  6399] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #6312, Deltas: 18.8
Row 0065 [Slots   6400..  6499] | Count:  1 | Type: SINGLE             | Formula: Slot #6492 (Offset +92)
Row 0066 [Slots   6500..  6599] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0067 [Slots   6600..  6699] | Count:  4 | Type: IRREGULAR_CLUSTER  | Formula: Start #6634, Deltas: 14.26.19
Row 0068 [Slots   6700..  6799] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 6717 + (15 * k) [k=0..1]
Row 0069 [Slots   6800..  6899] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0070 [Slots   6900..  6999] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #6912, Deltas: 29.42
Row 0071 [Slots   7000..  7099] | Count:  6 | Type: IRREGULAR_CLUSTER  | Formula: Start #7002, Deltas: 18.39.16.18.3
Row 0072 [Slots   7100..  7199] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 7104 + (44 * k) [k=0..1]
Row 0073 [Slots   7200..  7299] | Count:  1 | Type: SINGLE             | Formula: Slot #7260 (Offset +60)
Row 0074 [Slots   7300..  7399] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0075 [Slots   7400..  7499] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 7405 + (38 * k) [k=0..1]
Row 0076 [Slots   7500..  7599] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 7555 + (39 * k) [k=0..1]
Row 0077 [Slots   7600..  7699] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 7622 + (20 * k) [k=0..1]
Row 0078 [Slots   7700..  7799] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0079 [Slots   7800..  7899] | Count:  1 | Type: SINGLE             | Formula: Slot #7890 (Offset +90)
Row 0080 [Slots   7900..  7999] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 7942 + (45 * k) [k=0..1]
Row 0081 [Slots   8000..  8099] | Count:  1 | Type: SINGLE             | Formula: Slot #8078 (Offset +78)
Row 0082 [Slots   8100..  8199] | Count:  4 | Type: IRREGULAR_CLUSTER  | Formula: Start #8124, Deltas: 38.19.9
Row 0083 [Slots   8200..  8299] | Count:  7 | Type: IRREGULAR_CLUSTER  | Formula: Start #8200, Deltas: 23.20.12.13.15.11
Row 0084 [Slots   8300..  8399] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 8345 + (47 * k) [k=0..1]
Row 0085 [Slots   8400..  8499] | Count:  5 | Type: IRREGULAR_CLUSTER  | Formula: Start #8412, Deltas: 23.14.9.17
Row 0086 [Slots   8500..  8599] | Count:  1 | Type: SINGLE             | Formula: Slot #8587 (Offset +87)
Row 0087 [Slots   8600..  8699] | Count:  1 | Type: SINGLE             | Formula: Slot #8623 (Offset +23)
Row 0088 [Slots   8700..  8799] | Count:  1 | Type: SINGLE             | Formula: Slot #8703 (Offset +3)
Row 0089 [Slots   8800..  8899] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 8844 + (24 * k) [k=0..1]
Row 0090 [Slots   8900..  8999] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 8930 + (23 * k) [k=0..1]
Row 0091 [Slots   9000..  9099] | Count:  4 | Type: IRREGULAR_CLUSTER  | Formula: Start #9003, Deltas: 17.29.8
Row 0092 [Slots   9100..  9199] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 9153 + (26 * k) [k=0..1]
Row 0093 [Slots   9200..  9299] | Count:  1 | Type: SINGLE             | Formula: Slot #9271 (Offset +71)
Row 0094 [Slots   9300..  9399] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #9327, Deltas: 58.1
Row 0095 [Slots   9400..  9499] | Count:  1 | Type: SINGLE             | Formula: Slot #9466 (Offset +66)
Row 0096 [Slots   9500..  9599] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #9510, Deltas: 27.57
Row 0097 [Slots   9600..  9699] | Count:  1 | Type: SINGLE             | Formula: Slot #9608 (Offset +8)
Row 0098 [Slots   9700..  9799] | Count:  5 | Type: IRREGULAR_CLUSTER  | Formula: Start #9736, Deltas: 17.21.20.1
Row 0099 [Slots   9800..  9899] | Count:  5 | Type: IRREGULAR_CLUSTER  | Formula: Start #9810, Deltas: 6.22.1.34
Row 0100 [Slots   9900..  9999] | Count:  6 | Type: IRREGULAR_CLUSTER  | Formula: Start #9903, Deltas: 3.46.1.2.23
Row 0101 [Slots  10000.. 10099] | Count:  1 | Type: SINGLE             | Formula: Slot #10020 (Offset +20)
Row 0102 [Slots  10100.. 10199] | Count:  1 | Type: SINGLE             | Formula: Slot #10115 (Offset +15)
Row 0103 [Slots  10200.. 10299] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 10234 + (45 * k) [k=0..1]
Row 0104 [Slots  10300.. 10399] | Count:  4 | Type: IRREGULAR_CLUSTER  | Formula: Start #10339, Deltas: 1.29.13
Row 0105 [Slots  10400.. 10499] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 10451 + (7 * k) [k=0..1]
Row 0106 [Slots  10500.. 10599] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0107 [Slots  10600.. 10699] | Count:  1 | Type: SINGLE             | Formula: Slot #10600 (Offset +0)
Row 0108 [Slots  10700.. 10799] | Count:  1 | Type: SINGLE             | Formula: Slot #10743 (Offset +43)
Row 0109 [Slots  10800.. 10899] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0110 [Slots  10900.. 10999] | Count:  1 | Type: SINGLE             | Formula: Slot #10970 (Offset +70)
Row 0111 [Slots  11000.. 11099] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #11022, Deltas: 6.10
Row 0112 [Slots  11100.. 11199] | Count:  1 | Type: SINGLE             | Formula: Slot #11102 (Offset +2)
Row 0113 [Slots  11200.. 11299] | Count:  1 | Type: SINGLE             | Formula: Slot #11251 (Offset +51)
Row 0114 [Slots  11300.. 11399] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0115 [Slots  11400.. 11499] | Count:  1 | Type: SINGLE             | Formula: Slot #11449 (Offset +49)
Row 0116 [Slots  11500.. 11599] | Count:  1 | Type: SINGLE             | Formula: Slot #11550 (Offset +50)
Row 0117 [Slots  11600.. 11699] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #11609, Deltas: 41.45
Row 0118 [Slots  11700.. 11799] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #11722, Deltas: 35.8
Row 0119 [Slots  11800.. 11899] | Count:  1 | Type: SINGLE             | Formula: Slot #11860 (Offset +60)
Row 0120 [Slots  11900.. 11999] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #11916, Deltas: 15.42
Row 0121 [Slots  12000.. 12099] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0122 [Slots  12100.. 12199] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0123 [Slots  12200.. 12299] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #12207, Deltas: 72.12
Row 0124 [Slots  12300.. 12399] | Count:  1 | Type: SINGLE             | Formula: Slot #12338 (Offset +38)
Row 0125 [Slots  12400.. 12499] | Count:  4 | Type: IRREGULAR_CLUSTER  | Formula: Start #12402, Deltas: 22.56.3
Row 0126 [Slots  12500.. 12599] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 12503 + (11 * k) [k=0..1]
Row 0127 [Slots  12600.. 12699] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0128 [Slots  12700.. 12799] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #12726, Deltas: 51.21
Row 0129 [Slots  12800.. 12899] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 12861 + (21 * k) [k=0..1]
Row 0130 [Slots  12900.. 12999] | Count:  1 | Type: SINGLE             | Formula: Slot #12990 (Offset +90)
Row 0131 [Slots  13000.. 13099] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #13053, Deltas: 14.31
Row 0132 [Slots  13100.. 13199] | Count:  1 | Type: SINGLE             | Formula: Slot #13138 (Offset +38)
Row 0133 [Slots  13200.. 13299] | Count:  1 | Type: SINGLE             | Formula: Slot #13253 (Offset +53)
Row 0134 [Slots  13300.. 13399] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 13344 + (38 * k) [k=0..1]
Row 0135 [Slots  13400.. 13499] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 13415 + (66 * k) [k=0..1]
Row 0136 [Slots  13500.. 13599] | Count:  4 | Type: IRREGULAR_CLUSTER  | Formula: Start #13555, Deltas: 20.1.19
Row 0137 [Slots  13600.. 13699] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #13600, Deltas: 67.12
Row 0138 [Slots  13700.. 13799] | Count:  1 | Type: SINGLE             | Formula: Slot #13747 (Offset +47)
Row 0139 [Slots  13800.. 13899] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #13846, Deltas: 25.4
Row 0140 [Slots  13900.. 13999] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0141 [Slots  14000.. 14099] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 14039 + (14 * k) [k=0..1]
Row 0142 [Slots  14100.. 14199] | Count:  1 | Type: SINGLE             | Formula: Slot #14120 (Offset +20)
Row 0143 [Slots  14200.. 14299] | Count:  1 | Type: SINGLE             | Formula: Slot #14273 (Offset +73)
Row 0144 [Slots  14300.. 14399] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 14382 + (8 * k) [k=0..1]
Row 0145 [Slots  14400.. 14499] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0146 [Slots  14500.. 14599] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0147 [Slots  14600.. 14699] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0148 [Slots  14700.. 14799] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 14724 + (32 * k) [k=0..1]
Row 0149 [Slots  14800.. 14899] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 14829 + (32 * k) [k=0..1]
Row 0150 [Slots  14900.. 14999] | Count:  1 | Type: SINGLE             | Formula: Slot #14929 (Offset +29)
Row 0151 [Slots  15000.. 15099] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #15018, Deltas: 15.1
Row 0152 [Slots  15100.. 15199] | Count:  5 | Type: IRREGULAR_CLUSTER  | Formula: Start #15102, Deltas: 25.20.13.35
Row 0153 [Slots  15200.. 15299] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 15228 + (15 * k) [k=0..1]
Row 0154 [Slots  15300.. 15399] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 15300 + (64 * k) [k=0..1]
Row 0155 [Slots  15400.. 15499] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 15419 + (70 * k) [k=0..1]
Row 0156 [Slots  15500.. 15599] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 15551 + (44 * k) [k=0..1]
Row 0157 [Slots  15600.. 15699] | Count:  1 | Type: SINGLE             | Formula: Slot #15661 (Offset +61)
Row 0158 [Slots  15700.. 15799] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 15702 + (39 * k) [k=0..1]
Row 0159 [Slots  15800.. 15899] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 15855 + (21 * k) [k=0..1]
Row 0160 [Slots  15900.. 15999] | Count:  1 | Type: SINGLE             | Formula: Slot #15915 (Offset +15)
Row 0161 [Slots  16000.. 16099] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0162 [Slots  16100.. 16199] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #16163, Deltas: 19.16
Row 0163 [Slots  16200.. 16299] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 16226 + (69 * k) [k=0..1]
Row 0164 [Slots  16300.. 16399] | Count:  1 | Type: SINGLE             | Formula: Slot #16362 (Offset +62)
Row 0165 [Slots  16400.. 16499] | Count:  1 | Type: SINGLE             | Formula: Slot #16477 (Offset +77)
Row 0166 [Slots  16500.. 16599] | Count:  2 | Type: SOLID_RUN          | Formula: Start #16589, Solid Run of 2 (AAAA...)
Row 0167 [Slots  16600.. 16699] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0168 [Slots  16700.. 16799] | Count:  4 | Type: IRREGULAR_CLUSTER  | Formula: Start #16712, Deltas: 37.7.4
Row 0169 [Slots  16800.. 16899] | Count:  1 | Type: SINGLE             | Formula: Slot #16887 (Offset +87)
Row 0170 [Slots  16900.. 16999] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #16921, Deltas: 3.25
Row 0171 [Slots  17000.. 17099] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #17043, Deltas: 44.7
Row 0172 [Slots  17100.. 17199] | Count:  2 | Type: SOLID_RUN          | Formula: Start #17195, Solid Run of 2 (AAAA...)
Row 0173 [Slots  17200.. 17299] | Count:  1 | Type: SINGLE             | Formula: Slot #17221 (Offset +21)
Row 0174 [Slots  17300.. 17399] | Count:  1 | Type: SINGLE             | Formula: Slot #17333 (Offset +33)
Row 0175 [Slots  17400.. 17499] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 17439 + (22 * k) [k=0..1]
Row 0176 [Slots  17500.. 17599] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 17532 + (12 * k) [k=0..1]
Row 0177 [Slots  17600.. 17699] | Count:  1 | Type: SINGLE             | Formula: Slot #17679 (Offset +79)
Row 0178 [Slots  17700.. 17799] | Count:  1 | Type: SINGLE             | Formula: Slot #17788 (Offset +88)
Row 0179 [Slots  17800.. 17899] | Count:  1 | Type: SINGLE             | Formula: Slot #17852 (Offset +52)
Row 0180 [Slots  17900.. 17999] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 17908 + (18 * k) [k=0..1]
Row 0181 [Slots  18000.. 18099] | Count:  5 | Type: IRREGULAR_CLUSTER  | Formula: Start #18014, Deltas: 29.13.11.31
Row 0182 [Slots  18100.. 18199] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0183 [Slots  18200.. 18299] | Count:  1 | Type: SINGLE             | Formula: Slot #18288 (Offset +88)
Row 0184 [Slots  18300.. 18399] | Count:  1 | Type: SINGLE             | Formula: Slot #18308 (Offset +8)
Row 0185 [Slots  18400.. 18499] | Count:  1 | Type: SINGLE             | Formula: Slot #18424 (Offset +24)
Row 0186 [Slots  18500.. 18599] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0187 [Slots  18600.. 18699] | Count:  1 | Type: SINGLE             | Formula: Slot #18652 (Offset +52)
Row 0188 [Slots  18700.. 18799] | Count:  1 | Type: SINGLE             | Formula: Slot #18734 (Offset +34)
Row 0189 [Slots  18800.. 18899] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0190 [Slots  18900.. 18999] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0191 [Slots  19000.. 19099] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 19003 + (18 * k) [k=0..1]
Row 0192 [Slots  19100.. 19199] | Count:  1 | Type: SINGLE             | Formula: Slot #19114 (Offset +14)
Row 0193 [Slots  19200.. 19299] | Count:  1 | Type: SINGLE             | Formula: Slot #19256 (Offset +56)
Row 0194 [Slots  19300.. 19399] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0195 [Slots  19400.. 19499] | Count:  1 | Type: SINGLE             | Formula: Slot #19428 (Offset +28)
Row 0196 [Slots  19500.. 19599] | Count:  4 | Type: IRREGULAR_CLUSTER  | Formula: Start #19514, Deltas: 36.17.25
Row 0197 [Slots  19600.. 19699] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 19613 + (26 * k) [k=0..1]
Row 0198 [Slots  19700.. 19799] | Count:  1 | Type: SINGLE             | Formula: Slot #19778 (Offset +78)
Row 0199 [Slots  19800.. 19899] | Count:  5 | Type: IRREGULAR_CLUSTER  | Formula: Start #19800, Deltas: 18.29.25.20
Row 0200 [Slots  19900.. 19999] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0201 [Slots  20000.. 20099] | Count:  1 | Type: SINGLE             | Formula: Slot #20038 (Offset +38)
Row 0202 [Slots  20100.. 20199] | Count:  4 | Type: IRREGULAR_CLUSTER  | Formula: Start #20130, Deltas: 4.14.30
Row 0203 [Slots  20200.. 20299] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 20252 + (12 * k) [k=0..1]
Row 0204 [Slots  20300.. 20399] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 20354 + (18 * k) [k=0..1]
Row 0205 [Slots  20400.. 20499] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0206 [Slots  20500.. 20599] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0207 [Slots  20600.. 20699] | Count:  1 | Type: SINGLE             | Formula: Slot #20649 (Offset +49)
Row 0208 [Slots  20700.. 20799] | Count:  1 | Type: SINGLE             | Formula: Slot #20705 (Offset +5)
Row 0209 [Slots  20800.. 20899] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0210 [Slots  20900.. 20999] | Count:  1 | Type: SINGLE             | Formula: Slot #20964 (Offset +64)
Row 0211 [Slots  21000.. 21099] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0212 [Slots  21100.. 21199] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 21106 + (51 * k) [k=0..1]
Row 0213 [Slots  21200.. 21299] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 21225 + (12 * k) [k=0..1]
Row 0214 [Slots  21300.. 21399] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #21309, Deltas: 10.42
Row 0215 [Slots  21400.. 21499] | Count:  2 | Type: ARITHMETIC_STEP    | Formula: Slot(k) = 21400 + (14 * k) [k=0..1]
Row 0216 [Slots  21500.. 21599] | Count:  3 | Type: IRREGULAR_CLUSTER  | Formula: Start #21519, Deltas: 21.28
Row 0217 [Slots  21600.. 21699] | Count:  1 | Type: SINGLE             | Formula: Slot #21664 (Offset +64)
Row 0218 [Slots  21700.. 21799] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0219 [Slots  21800.. 21899] | Count:  1 | Type: SINGLE             | Formula: Slot #21824 (Offset +24)
Row 0220 [Slots  21900.. 21999] | Count:  1 | Type: SINGLE             | Formula: Slot #21938 (Offset +38)
Row 0221 [Slots  22000.. 22099] | Count:  1 | Type: SINGLE             | Formula: Slot #22008 (Offset +8)
Row 0222 [Slots  22100.. 22199] | Count:  1 | Type: SINGLE             | Formula: Slot #22125 (Offset +25)
Row 0223 [Slots  22200.. 22299] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
Row 0224 [Slots  22300.. 22399] | Count:  0 | Type: EMPTY              | Formula: None (0 occurrences)
